parcel_id,vns_bldg_style,vns_bldg_use,vns_gla,vns_bldg_area_effective,vns_pct_good,cns_assess_val,bld_year_built,bld_effective_year_built,bld_grade,bld_condition,bld_units
8-2-1204,,,,1703,93,284800,,,,,
8-2-1301,,,,1934,93,329800,,,,,
8-2-1302,,,,2096,93,336500,,,,,
8-2-1303,,,,2171,93,344400,,,,,
8-2-1304,,,,1987,93,334700,,,,,
8-3,,,,3838,71,379200,,,,,
8-3,,,,1926,90,226700,,,,,
8-4,,,,1158,83,155700,,,,,
8-4,,,,1458,79,187600,,,,,
8-5,,,,3019,10,28100,,,,,
8-7,,,,5732,73,806900,,,,,
8-8,,,,1722,57,155900,,,,,
8-9,,,,1325,66,138000,,,,,
8-10,,,,1857,67,166000,,,,,
8-11,,,,803,52,69000,,,,,
8-12,,,,,,,,,,,
8-13,,,,1200,92,195900,,,,,
8-14,,,,1360,90,185100,,,,,
8-15,,,,1146,78,134200,,,,,
8-16,,,,1803,93,293100,,,,,
8-17,,,,1208,92,173300,,,,,
8-18,,,,2940,96,359800,,,,,
8-19,,,,1617,67,178800,,,,,
8-21,,,,1441,71,208500,,,,,
8-22,,,,1525,75,186000,,,,,
8-23,,,,0,,0,,,,,
8-25,,,,2146,82,261800,,,,,
8-26,,,,0,,0,,,,,
8-27,,,,0,,0,,,,,
8-28,,,,0,,0,,,,,
8-29,,,,0,,0,,,,,
8-30,,,,1093,78,158700,,,,,
8-31,,,,2132,75,240600,,,,,
8-32,,,,2205,86,282900,,,,,
8-33,,,,0,,0,,,,,
9-1,,,,6568,60,371000,,,,,
9-1,,,,1581,66,146500,,,,,
9-2,,,,0,,0,,,,,
10-6-100,,,,1287,70,100000,,,,,
10-6-200,,,,12478,78,1749200,,,,,
10-7-101,,,,2006,81,496200,,,,,
10-7-102,,,,1288,80,313800,,,,,
10-7-105,,,,3002,70,566800,,,,,
10-7-201,,,,2006,81,506200,,,,,
10-7-202,,,,1224,80,306800,,,,,
10-7-203,,,,5457,80,1231400,,,,,
10-7-204,,,,4147,78,853400,,,,,
10-7-205,,,,1385,70,339600,,,,,
10-7-302,,,,2008,80,455200,,,,,
10-7-305,,,,1376,70,326800,,,,,
10-7-402,,,,1000,80,245800,,,,,
10-7-405,,,,755,70,147300,,,,,
10-7-502,,,,1288,80,321800,,,,,
10-7-602,,,,1224,80,311700,,,,,
10-7-702,,,,2008,80,455600,,,,,
10-7-802,,,,968,81,247500,,,,,
10-8,,,,16967,73,4733600,,,,,
10-8-100,,,,0,,0,,,,,
10-8-200,,,,2150354,81,693038900,,,,,
10-8-200,,,,17024,83,442400,,,,,
10-8-200,,,,34467,92,9617000,,,,,
10-8-200,,,,28423,95,6196100,,,,,
10-8-200,,,,142110,100,65795600,,,,,
10-8-300,,,,,,,,,,,
10-8-70100,,,,11226,75,1648400,,,,,
10-8-70200,,,,165727,75,59341800,,,,,
10-9,,,,0,,0,,,,,
10-10,,,,0,,0,,,,,
10-11-100,,,,6212,78,917900,,,,,
10-11-100,,,,55000,78,8917200,,,,,
10-11-100,,,,2316,50,262800,,,,,
10-11-300,,,,79202,78,13372000,,,,,
10-11-400,,,,9401,78,1632600,,,,,
10-11-700,,,,52576,76,4156300,,,,,
10-11-700,,,,9711,94,1375900,,,,,
10-11-1000,,,,9080,78,1463300,,,,,
10-11-1201,,,,1090,96,358300,,,,,
10-11-1202,,,,1380,96,504200,,,,,
10-11-1203,,,,1285,96,433100,,,,,
10-11-1204,,,,1285,96,438900,,,,,
10-11-1205,,,,1360,96,469500,,,,,
10-11-1206,,,,1360,96,444800,,,,,
10-11-1207,,,,1300,96,435500,,,,,
10-11-1208,,,,1140,96,409400,,,,,
10-11-1209,,,,1220,96,422300,,,,,
10-11-1210,,,,1500,96,519800,,,,,
10-11-1211,,,,1380,96,493000,,,,,
10-11-1212,,,,1880,96,586600,,,,,
10-11-1213,,,,2040,96,578500,,,,,
10-11-1214,,,,1360,96,444800,,,,,
10-11-1215,,,,1250,96,431200,,,,,
10-11-1216,,,,1090,96,402000,,,,,
10-11-1217,,,,1170,96,414200,,,,,
10-11-1218,,,,1500,96,554800,,,,,
10-11-1219,,,,1380,96,497500,,,,,
10-11-1220,,,,1880,96,586600,,,,,
10-11-1221,,,,2040,96,584100,,,,,
10-11-1222,,,,1360,96,444800,,,,,
10-11-1223,,,,1250,96,427400,,,,,
10-11-1224,,,,1090,96,402000,,,,,
10-11-1225,,,,1170,96,414200,,,,,
10-11-1226,,,,1500,96,519800,,,,,
10-11-1300,,,,22607,63,694700,,,,,
10-11-1302,,,,75526,83,10060600,,,,,
10-11-1400,,,,0,,0,,,,,
10-11-1500,,,,25428,81,2437400,,,,,
10-11-150E,,,,25428,75,1612900,,,,,
10-11-1600,,,,49805,78,7488300,,,,,
10-11-2000,,,,49270,78,7693800,,,,,
10-11-2100,,,,43753,81,6218400,,,,,
10-11-2300,,,,55745,81,9469800,,,,,
10-11-2400,,,,0,,0,,,,,
10-11-2500,,,,13135,76,520200,,,,,
10-11-2600,,,,50733,66,3831400,,,,,
10-11-2700,,,,80548,75,4936600,,,,,
10-11-3100,,,,20056,78,1088900,,,,,
10-11-3200,,,,14362,75,651300,,,,,
10-11-3400,,,,64431,76,7954100,,,,,
10-11-3600,,,,71346,83,8396200,,,,,
10-11-3800,,,,64895,71,5002200,,,,,
10-12,,,,38767,98,4800600,,,,,
10-12,,,,41509,98,5151100,,,,,
10-12,,,,41509,98,5181200,,,,,
10-12,,,,41509,98,5181200,,,,,
10-13,,,,0,,0,,,,,
10-21,,,,0,,0,,,,,
10-22,,,,18539,60,1536400,,,,,
10-22,,,,6218,70,760100,,,,,
10-22,,,,10297,70,495300,,,,,
10-22,,,,55257,75,8869700,,,,,
10-23,,,,0,,0,,,,,
10-24-100,,,,0,,0,,,,,
10-24-200,,,,0,,0,,,,,
10-25,,,,0,,0,,,,,
10-26,,,,0,,0,,,,,
10-27,,,,0,,0,,,,,
10-28,,,,0,,0,,,,,
10-29,,,,0,,0,,,,,
10-30,,,,0,,0,,,,,
